id,question,label
91,What are the first four terms of sequence  $a_n = \frac{n(n+1)}{2}$ ?,series_and_sequence
92, $a_n = (\frac{1}{2})^{n }$ . What is  $a_9$ ?,series_and_sequence
93, $a_n = \frac{(n+1)^2}{n-9}$ . What is  $a_{14}$ ?,series_and_sequence
94, $a_n = \frac{(-1)^{n+1}(n-1)(n+2)}{n}$ . What is  $a_7$ ?,series_and_sequence
95, $a_n = (\frac{n}{9}-12)^n$ . What is  $a_{99}$ ?,series_and_sequence
96,"Write an expression for the nth term of the given sequence. Assume n starts at 1. Sequence: 2, 4, 6, 8, 10,",series_and_sequence
97,"Write an expression for the nth term of the given sequence. Assume n starts at 1. Sequence: 1, -1, 1, -1, 1,",series_and_sequence
98,"Write an expression for the nth term of the given sequence. Assume n starts at 1. Sequence: 3,9,27,81,",series_and_sequence
99,"Write an expression for the nth term of the given sequence. Assume n starts at 1. Sequence:  $\frac{1}{2\cdot1}$ $\frac{1}{3\cdot2}$ $\frac{1}{4\cdot3}$ $\frac{1}{5\cdot4}$ $\frac{1}{6\cdot5}$ ,",series_and_sequence
100,Which of the following is a correct description of an arithmetic sequence?,series_and_sequence
101,"Which of the following is the common difference of the arithmetic sequence 4,7,10,13,\dots?",series_and_sequence
102,"Whati is the common difference in the sequence: -4, 3, 10, 17, \dots?",series_and_sequence
103,"Which of the following is the missing term of the arithmetic sequence,-1,-7, blank,-19,-25,\dots?",series_and_sequence
104,"Which of the following of the common difference of the arithmetic sequence -1,-8,-15,-22,?",series_and_sequence
105,"Which of the following is the common difference in the arithmetic sequence:  $\frac{1}{2}$ ,1,1  $\frac{1}{2}$,2 ?",series_and_sequence
106,Which of the following is an arithmetic sequence?,series_and_sequence
107,"Which of the following is the common difference of an arithmetic sequence whose  $a_2 = 1$ ,  $a_5 = 7$ ?",series_and_sequence
108,"Which of the following is the common difference of the arithmetic sequence $3a-1$ , $3a$ , $3a+1$x,\dots?",series_and_sequence
109,"Which of the following is the first positive term of the arithmetic sequence -8, -6, -4,\dots?",series_and_sequence
110,"Which of the following is the value of a to make $3a+1$ , $4a$, $6a+1$,\dots an arithmetic sequence?",series_and_sequence
111,Which of the following is not an arithmetic sequence?,series_and_sequence
112,Which of the following is not an arithmetic sequence?,series_and_sequence
113,"Which of the following is not true about the arithmetic sequence 5 , 3, 1, -1, -3, …",series_and_sequence
114,"I was advised by my physician to walk each day in the morning as my daily exercise. On my first day, I walked 40m. On the second and third day, I walked 60m and 80m, respectively, and so on. Which of the following is the distance I walked on the 10th day if I continue the pattern in my daily walk?",series_and_sequence
115,Which of the following describes an arithmetic sequence?,series_and_sequence
116,"Which of the following is the common difference in the sequence: 0,4,8,12,",series_and_sequence
117,"Which of the following is the common difference in the sequence: 3, -2, -7,\dots?",series_and_sequence
118,"Which of the missing  term in this arithmetic sequence: 23, 18, 13, 8, 3, ___, -7, -12,?",series_and_sequence
119,"Which of the following is the common difference in the sequence: -7, -4, -1, 2, 5,\dots?",series_and_sequence
120,"Which of the following is the common difference in the arithmetic sequence: 3$\frac{13}{4}$, $\frac{7}{2}$, $\frac{15}{4}$ ?",series_and_sequence
121,Which of the following is an arithmetic sequence?,series_and_sequence
122,Which of the following is the common difference of an arithmetic sequence if  $a_3 = 4$  and  $a_5 = 14$ ?,series_and_sequence
123,"Which of the following is the common difference of the arithmetic sequence $7p+2$ , $5p+12$, $3p+22$, \dots?",series_and_sequence
124,"Which of the following is the first positive term of the arithmetic sequence:-11, -8, -5, ?",series_and_sequence
125,"Which of the following is the value of p so that the terms, $7p+2$ ,$5p+12$, $2p-1$,\dots form an arithmetic sequence?",series_and_sequence
126,Which of the following is NOT an arithmetic sequence?,series_and_sequence
127,Which of the following is NOT an arithmetic sequence?,series_and_sequence
128,"Which is NOT true about the arithmetic sequence: 25, 32, 39, 46,?",series_and_sequence
129,"During a free-fall, a sky diver jumps 16 feet, 48 feet, and 60 feet on the first, second, and third fall, respectively. If he continues to jump at this pattern, how many feet will he have jumped during the tenth fall?",series_and_sequence
130,"Determine if the sequence is arithmetic or not. If it is, find the common difference and the next three terms of the sequence: -4,3,10,17,…",series_and_sequence
131,"Which term of the arithmetic sequence 7, 10, 13, 16, . . . is 304?",series_and_sequence
132,Find the nth term of the arithmetic sequence given the following conditions:  $a_1 = 2$ $d = 3$ $n = 9$,series_and_sequence
133,"Which term of the arithmetic sequence 2, 6, 10,….. is 102?",series_and_sequence
134,"If three arithmetic means are inserted between -15 and 9, find the first of these arithmetic means.",series_and_sequence
135,"Find the 21st term of the arithmetic sequence 6, 9, 12, 15,…",series_and_sequence
136,"If three arithmetic means are inserted between 8 and 16, find the second arithmetic mean.",series_and_sequence
137,"Which term of the arithmetic sequence 3,  $\frac{7}{5}$ $\frac{5}{3}$ ,.., is -27?",series_and_sequence
138,What is the arithmetic mean between 10 and 24?,series_and_sequence
139,"What is the 10th term of the following arithmetic sequence: -5, -1, 3, 7, 11,…?",series_and_sequence
140, Insert two arithmetic means between  $\sqrt{2}$  and $ 4\sqrt{2}$ . Which of the following is the first arithmetic mean?,series_and_sequence
141,If  $a_1  =  -4$  and  $a_25 = -100$ . Find  $a_100$ ?,series_and_sequence
142,"If  $a_3 = 8$  and  $a_16 = 47$  and  $a_k = 212$ ,then what is the value of k?",series_and_sequence
143,Insert 2 arithmetic means between 3 and 30.,series_and_sequence
144,"After one second, a rocket is 30 ft above the ground. After another second, it is 85 feet above the ground. Then after another second, it is already 140 feet above the ground. If it continues to rise at this rate, how many feet above the ground will the rocket be after 16 seconds?",series_and_sequence
145,"An object is dropped from a plane and falls 32 feet during  the  first second. For each succeeding second, it falls 40 feet more than  the distance covered in the preceding second. How far has it fallen after 11 seconds?",series_and_sequence
146,"Find the 9th term of sequence: 2, 5, 8, …;",series_and_sequence
147,"Find the 20th term of sequence: 2, 5, 8, …;",series_and_sequence
148,"Find the 16th term of sequence: 1,  $\frac{1}{2}$ , 0, …;",series_and_sequence
149,"Find the 9th term of sequence: 5, 11, 17, …;",series_and_sequence
150,"Find the 40th term of sequence: 26, 22, 18, …; ",series_and_sequence
151,103rd term of the arithmetic sequence if  $a_1  =  -5$  and d  =  -4,series_and_sequence
152,19th term of the arithmetic sequence if  $a_1 =  25$  and d  =  -2,series_and_sequence
153,25th  term of the arithmetic sequence if  $a_1 = \frac{1}{2} $ and $ d =  -\frac{3}{8}$ .,series_and_sequence
154,"In the sequence 2, 6, 10, …; find n if the nth term is 102",series_and_sequence
155,In the sequence 3$\frac{7}{3}$ $\frac{5}{3}$ ; find n if the nth term is -27,series_and_sequence
156,Find the15th term of the sequence if  $a_8  =  5$  and  $a_21  =  -60$ ,series_and_sequence
157,Find 5th term of the sequence if  $a_15  =  29$  and  $a_27  =  47$ ,series_and_sequence
158,"If  $a_1  =   - 4$  ,   $a_25  =   - 100$  , what is the value of   $a_100$  ?",series_and_sequence
159,What is the general formula of finding the nth term of an arithmetic sequence.,series_and_sequence
160,The 10th term of the arithmetic sequence if  $a_1  =  -15$  and d  =  6,series_and_sequence
161,The 39th  term of the arithmetic sequence if  $a_1  =  40$  and d =  $\frac{1}{2}$ ,series_and_sequence
162,"Find the 41st term of sequence: 1.4, 4.5, 7.6, …; ",series_and_sequence
163,"Find the 23rd term of sequence: 9, 18, 27,…;",series_and_sequence
164,"Find the 27th term of sequence: 14, 6, -2,…;",series_and_sequence
165,"Find the 16th term of sequence: 3, 3.25, 3.5,…;  ",series_and_sequence
166,"Find the 28th term of sequence: 1, 4, 7,…;",series_and_sequence
167,"In the sequence: 0.12, 0.17, 0.22, …; find n if the nth term is 67?",series_and_sequence
168,"In the sequence: 10, 7, 4, …; what term has a value of -296?",series_and_sequence
169,"In the sequence: 2, 6, 10, 14, …; what n corresponds to  $a_n =  286$ ?",series_and_sequence
170,Find 1st term of the sequence if  $a_5  =  26$  and  $a_12  =  47$ ,series_and_sequence
171,"If  $a_24  =  85$  , and  $a_28  =  100$  , what is  $a_1$ ?",series_and_sequence
172,What is the arithmetic mean between 5 and 19?,series_and_sequence
173,What is the arithmetic mean between  $3x^2+8$  and  $x^2-6$ ?,series_and_sequence
174,What is the arithmetic mean between -2 and 58?,series_and_sequence
175,What is the arithmetic mean between  $2x+3y$  and  $x-5y$ ?,series_and_sequence
176,What is the arithmetic mean between 13.8 and 15.6?,series_and_sequence
177,Three arithmetic means between 2 and 22.,series_and_sequence
178,Four arithmetic means between 8 and 23,series_and_sequence
179,Two arithmetic means between 41 and 95,series_and_sequence
180,Two arithmetic means between -5 and 1,series_and_sequence
181,Two arithmetic means between 97 and 172,series_and_sequence
182,"Find the missing term of the arithmetic sequence: 7, ?, 9",series_and_sequence
183,"Find the missing term of the arithmetic sequence: 1, ?,  $\frac{1}{5}$ ",series_and_sequence
184,"Find the missing terms of the arithmetic sequence: 8,?,?,?,20",series_and_sequence
185,"Find the missing terms of the arithmetic sequence: -4,?,?,5",series_and_sequence
186,"Find the missing terms of the arithmetic sequence: -5,?,?,?,?,3",series_and_sequence
187,What is the arithmetic mean between the given arithmetic extremes: 19 and 7,series_and_sequence
188,What is the arithmetic mean between the given arithmetic extremes:  $\frac{3}{11}$  and  $\frac{7}{11}$ ,series_and_sequence
189,What is the arithmetic mean between the given arithmetic extremes: $15x$ and $23x$,series_and_sequence
190,What is the arithmetic mean between the given arithmetic extremes:  $9\sqrt{3}$  and $11\sqrt{3}$ ,series_and_sequence
191,What is the arithmetic mean between the given arithmetic extremes:  $6-7\sqrt{7}$  and  $ 2+3\sqrt{7}$ ,series_and_sequence
192,Three arithmetic means between 18 and 92,series_and_sequence
193,Three arithmetic means between -14 and 6,series_and_sequence
194,Four arithmetic means between 24 and -8.,series_and_sequence
195,Five  arithmetic means between 6 and -18.,series_and_sequence
196,Two arithmetic means between   $2\sqrt{5}$  and $ 14\sqrt{5}$ ,series_and_sequence
197,"Find the missing term of arithmetic sequence: $x$, ?, $9x$",series_and_sequence
198,"Find the missing terms of arithmetic sequence: 31, ?, ?, 85",series_and_sequence
199,"Find the missing terms of arithmetic sequence: ?, ?, ?, 17, 23, 29",series_and_sequence
200,"Find the missing term of arithmetic sequence: ?, 6, ?, ?, 30",series_and_sequence
201,"Which term of the arithmetic sequence 5, 9, 13, 17, … is 409?",series_and_sequence
202,"Find   the   nth     term of the arithmetic sequence given the following conditions:  $a_1 = 5$ , d = 5, n = 25",series_and_sequence
203,"Which term of the arithmetic sequence 5, 9, 13, 17,….. is 401?",series_and_sequence
204,"If three arithmetic means are inserted between -15 and 9, find the first of these arithmetic means.",series_and_sequence
205,"Find the 20th term of the arithmetic sequence 5, 9, 13, 17, 21,…",series_and_sequence
206,"If three arithmetic means are inserted between 11 and 39, find the second arithmetic mean.",series_and_sequence
207,"Which term of the arithmetic sequence 4, 1, -2, -5, … is -29?",series_and_sequence
208,What is the arithmetic mean between 15 and 40?,series_and_sequence
209,"What is the 8th term of the following arithmetic sequence: -5, -1, 3, 7, 11,…?",series_and_sequence
210,Which of the following is an arithmetic mean between  $2-\sqrt{3}$ and $ 4-\sqrt{3}$ ?,series_and_sequence
211,If  $a_1  =  -3$  and  $a_5  =  5$ . Find  $a_10$ ?,series_and_sequence
212,"If  $a_3 = 11$  and  $a_5 = 7$  and  $a_k$  is the kth term of the sequence and  $a_k = -9$ , then what is the value of k?",series_and_sequence
213,Insert 3 arithmetic means between 8 and 16.,series_and_sequence
214,"After one second, a rocket is 40 ft above the ground. After another second, it is 95 feet above the ground. Then after another second, it is already 150 feet above the ground. If it continues to rise at this rate, how many feet above the ground will the rocket be after 16 seconds?",series_and_sequence
215,"Jose is the track and field representative of the Municipal NHS for the provincial meet. He begins training by running 5 miles  during  the  first week, 6.5 miles  during the  second  week,  and  8  miles on  the  third  week. If his training pattern continues, how far will he run on the tenth week?",series_and_sequence
216,"You have accepted a job with a salary of P27,000.00 a month during the first year. At the end of each year, you receive a P1,500.00 raise. What is your monthly salary during the first six years?",series_and_sequence
217,"An object is dropped from a plane and falls 32 feet during the first second. For each succeeding second, it falls 40 feet more than the distance covered in the preceding second. How far has it fallen after 11 seconds?",series_and_sequence
218,"Find the next three terms of the arithmetic sequence: 3, 8, 13, 18, …",series_and_sequence
219,"In the arithmetic sequence: 3, 8, 13, 18,…; what is the 15th  term?",series_and_sequence
220,"Find the 21st term of the arithmetic sequence: 6, 9, 12, 15,… ",series_and_sequence
221,"In the arithmetic sequence: 7, 10, 13, 16, . . .; find n if  $a_n = 304$ ",series_and_sequence
222,"The 3rd term of an arithmetic sequence is 8 and the 16th term is 47. Find d,  $a_1$  and the 71st term.",series_and_sequence
223,"In the sequence: 10, 15, 20, 25,…; what term has a value of 385?",series_and_sequence
224,"In the sequence: 4, 8, 12, 16, 20, 24; find its arithmetic means. ",series_and_sequence
225,What operation is used in obtaining the next terms in a geometric sequence?,series_and_sequence
226,What operation is used in obtaining the succeeding terms in an arithmetic sequence?,series_and_sequence
227,Which of the following terms is closely related to a geometric sequence?,series_and_sequence
228,Which of the following terms is closely associated to an arithmetic sequence?,series_and_sequence
229,Which of the following sequences is arithmetic?,series_and_sequence
230,Which of the following presents a geometric sequence?,series_and_sequence
231,"What is the common difference in the sequence -1$-\frac{1}{2}$ ,0$\frac{1}{2}$ ,1",series_and_sequence
232,What is the common ratio in the sequence -1$\frac{1}{2}$ $-\frac{1}{4}$ $\frac{1}{8}$ ,series_and_sequence
233,"Is the following an arithmetic sequence?: 5,	11,	17,	23,",series_and_sequence
234,"Is the following an arithmetic sequence?: 3,	9,27,81,",series_and_sequence
235,"Is the following an arithmetic sequence?: 12,9,6,3,",series_and_sequence
236,Is the following an arithmetic sequence?: 1$\frac{1}{2}$ $\frac{1}{3}$ $\frac{1}{4}$ ,series_and_sequence
237,"Is the following an arithmetic sequence?:8$\frac{17}{2}$ ,9$\frac{19}{2}$ ",series_and_sequence
238,"Find the next three terms of the geometric sequence 3, 21, 147,…",series_and_sequence
239,"You are planning to buy a new blouse which costs ₱300.00  as  a present to your mother this Christmas season. You started saving money on the first week of November and doubled the amount to be saved every week. If you started saving ₱5.00 on the first week, will you be able to buy the blouse at the end of the second week of December? What is the sequence obtained?",series_and_sequence
240,"Find the missing term of the sequence: 3,12,48,?",series_and_sequence
241,"Find the missing term of the sequence: ?,32,64,128",series_and_sequence
242,"Identiy the value of the missing term in the geometric sequence: ?, -32, 16, -8",series_and_sequence
243,"Identiy the value of the missing term in the geometric sequence:  100, 50, 25, ?",series_and_sequence
244,"Identiy the value of the missing term in the geometric sequence: -2,12,?,432",series_and_sequence
245,"Identiy the value of the missing term in the geometric sequence: -4,?,-64,-256",series_and_sequence
246,"Identiy the value of the missing term in the geometric sequence:32,2$\frac{1}{8}$ ,?",series_and_sequence
247,"Is the following sequence arithmetic or geometric?: 12, 15, 18, 21,..",series_and_sequence
248,"Is the following sequence arithmetic or geometric?: 10,5,0,-5,..",series_and_sequence
249,"Is the following sequence arithmetic or geometric?: 5,15,45,135,",series_and_sequence
250,"Is the following sequence arithmetic or geometric?: -24,12,-6,3,",series_and_sequence
251,This refers to the number that is being multiplied to obtain a geometric sequence.,series_and_sequence
252,Which of the following statements is true to all geometric sequences?,series_and_sequence
253,"If the common ratio of a sequence is –3 and the first term is 3, then the fourth term is",series_and_sequence
254,Which of the following is an example of a geometric sequence?,series_and_sequence
255,"Supply the missing term in the sequence 1, ?,  $\frac{1}{4}$ $\frac{1}{8}$ ,  to make it a geometric sequence.",series_and_sequence
256,Which of the following statements will let you obtain the common difference of an arithmetic sequence?,series_and_sequence
257,"What is the common difference in the sequence 1$\frac{1}{2}$ ,0$-\frac{1}{2},-1$ ,?",series_and_sequence
258,Which of the following is NOT an arithmetic sequence?,series_and_sequence
259,"What term fits on the blank in the sequence __ , 0, 3, 6, …?",series_and_sequence
260,"Determine whether the situation is arithmetic, geometric or neither: Growth of bacteria on a petri dish",series_and_sequence
261,"Determine whether the situation is arithmetic, geometric or neither: 15, 10, 5, 0, ",series_and_sequence
262,"Determine whether the situation is arithmetic, geometric or neither:  Doubling your weekly savings",series_and_sequence
263,"Determine whether the situation is arithmetic, geometric or neither:  The number of people watching a viral video within an hour",series_and_sequence
264,"Determine whether the situation is arithmetic, geometric or neither: Playing the stacking cups game",series_and_sequence
265,"Determine whether the situation is arithmetic, geometric or neither:  The taxi fare a passenger pays per kilometer traveled",series_and_sequence
266,Which of the following binomials is a factor of the  $P(x) = x^3-7x+5$ ?,polynomials
267,"Is the first polynomial a factor of the second polynomial ,  $x-1$ ; $x^2+2x+5$ ?",polynomials
268,Which  is  the  missing  factor  in  the  equation   $x^2- 4  =  ( x - 2 ) $   ,polynomials
269,Which of the following is NOT a factor of  $x^3+5x^2-x-5$ ?,polynomials
270,What are the factors of $ x^2-2x-24$ ?,polynomials
271,What is the remainder when  $x^3-4x^2+x+8$  is divided by $ x-2$ ?,polynomials
272,"When $P(x)$  is divided by  $x-r$  and the remainder is equal to zero, it means",polynomials
273,Evaluate the polynomial $ x^3+x^2+x+3$  if the value of  $x = -2$ .,polynomials
274,Which polynomial gives a remainder of 0 when divided by $ 3x-2$ ?,polynomials
275,Which of the following is a factor of $ 2x^2-5x+3$ ?,polynomials
276,What is the remainder if  $x^2-7x-4$  is divided by $ x-20$ ,polynomials
277,Which statement is true,polynomials
278,Which is the remainder if  $2x^3-7x^2-19x+20$  is divided by  $x-5$ ,polynomials
279, $x-3$  is a factor of $ x^4-3x^3-x+3$ .,polynomials
280,Find another factor of  $x^3-7x^2+4x-28$  if  $x-7$  is a factor.,polynomials
281, $f(x)  =  x^3-5x^2-7x+4$  if $ f(1)$,polynomials
282, $f(x) = x^3-5x^2-7x+4$  if  $f(-2)$,polynomials
283, $f(x) = x^3-5x^2-7x+4$  if  $f(\frac{1}{2})$,polynomials
284, $g(x) = 2x^6+3x^4-x^2+3$  if $ g(2)$,polynomials
285, $g(x) = 2x^6+3x^4-x^2+3$  if  $g(3)$,polynomials
286, $g(x) = 2x^6+3x^4-x^2+3$  if  $g(-1)$,polynomials
287, $f(x) = 2x^3-7x+3$  if  $f(-3)$,polynomials
288, $f(x) = 2x^3-7x+3$  if $f(5)$,polynomials
289, $f(x) = 2x^3-7x+3$  if  $f(-10)$,polynomials
290,Determine if  $x-3$  is a factor of $ P(x)$  where $ P(x) = x^4-3x^3-x+3$ .,polynomials
291,Determine if  $x-1$  is a factor of  $P(x)$  where  $P(x) = x^{25}-4$ ,polynomials
292,Find k so that $ x-2$  is a factor of  $P(x)x^3-kx^2-4x+20$ ,polynomials
293,Use the remainder theorem to find $ P(2)$  in  $P(x) = x^4+4x^3-x^2-16x-4$,polynomials
294,Prove that $ y-3$  is a factor of  $3y^3-7y^2-20$  u\sin g the remainder theorem.,polynomials
